"name","best","seed"
"ta001",14033,3971709045
"ta002",15151,531802297
"ta003",13301,3471347261
"ta004",15447,3907080199
"ta005",13529,4257632840
"ta006",13123,706466792
"ta007",13548,2335439281
"ta008",13948,4002746108
"ta009",14295,933642991
"ta010",12943,1698882304
"ta011",20911,634406014
"ta012",22440,1830378228
"ta013",19833,2995271372
"ta014",18710,148207597
"ta015",18641,2597344409
"ta016",19245,1404375619
"ta017",18363,3962269494
"ta018",20241,3266532485
"ta019",20330,1081492933
"ta020",21320,955605611
"ta021",33623,242514019
"ta022",31587,1903753882
"ta023",33920,2671440059
"ta024",31661,585495037
"ta025",34557,2365618412
"ta026",32564,2701452493
"ta027",32922,4070260508
"ta028",32412,3086622482
"ta029",33600,1968987837
"ta030",32262,1267065976
"ta031",64917,1300325559
"ta032",68129,3262628619
"ta033",63429,3553918374
"ta034",68473,2221633548
"ta035",69563,3097101271
"ta036",66882,2343410448
"ta037",66303,1011488262
"ta038",64371,836084638
"ta039",63113,2434248939
"ta040",69072,1304659904
"ta041",87508,3924995472
"ta042",83254,3389000562
"ta043",80164,2117206163
"ta044",86690,1609692195
"ta045",86518,3876781698
"ta046",86773,4271831999
"ta047",88953,1299921706
"ta048",86930,1656984502
"ta049",85742,2594649167
"ta050",88197,2056606151
"ta051",125868,1578373818
"ta052",119443,87433801
"ta053",116716,23181198
"ta054",121058,375454465
"ta055",118417,4024572599
"ta056",120989,278655619
"ta057",123682,2838098666
"ta058",123091,477115204
"ta059",122246,1679397114
"ta060",124927,199770592
"ta061",254678,1666541796
"ta062",244072,3348516367
"ta063",238953,3481805874
"ta064",228593,3451032601
"ta065",241714,3676045214
"ta066",234112,1970740602
"ta067",241683,4094886767
"ta068",232319,3525784149
"ta069",249508,3187489984
"ta070",244128,3534616446
"ta071",300782,3978686322
"ta072",277081,4061266050
"ta073",290080,2810680030
"ta074",304396,2001349519
"ta075",286240,4125314710
"ta076",272269,328416145
"ta077",282480,1082748505
"ta078",293845,529566541
"ta079",303887,229119479
"ta080",293499,2501406447
"ta081",367743,863746293
"ta082",376502,2947397680
"ta083",372865,3200314097
"ta084",375637,3640259449
"ta085",372135,3170559859
"ta086",375789,3216015289
"ta087",376227,3543395635
"ta088",385644,1065034570
"ta089",378185,3420575560
"ta090",384404,1954378682
"ta091",1052693,2476378077
"ta092",1046376,3580478008
"ta093",1051962,278465973
"ta094",1037053,2524054621
"ta095",1042504,336665616
"ta096",1017158,3957491252
"ta097",1061930,1251702947
"ta098",1049526,3844032413
"ta099",1027434,3858392100
"ta100",1037604,2833662995
"ta101",1231575,779817520
"ta102",1254022,1400294958
"ta103",1276794,412701273
"ta104",1251508,442091516
"ta105",1232544,2483491837
"ta106",1238453,4159887062
"ta107",1252135,221638463
"ta108",1253476,2041027982
"ta109",1239443,792444450
"ta110",1260143,1540596186
"ta111",6719673,690324505
"ta112",6855335,681057936
"ta113",6766439,1203365958
"ta114",6802110,2827494207
"ta115",6772583,2078448450
"ta116",6747889,1400598122
"ta117",6693639,2481731283
"ta118",6797405,488986942
"ta119",6727718,1290553708
"ta120",6768044,3047493964
"ta001",14033,3684812365
"ta002",15151,1758847210
"ta003",13301,618292399
"ta004",15447,2622892295
"ta005",13529,1861495678
"ta006",13123,525731653
"ta007",13548,3571094461
"ta008",13948,3596248700
"ta009",14295,3747397225
"ta010",12943,3756331122
"ta011",20911,3102712230
"ta012",22440,3753381518
"ta013",19833,193715919
"ta014",18710,2438721594
"ta015",18641,1406618353
"ta016",19245,1744863443
"ta017",18363,3787056580
"ta018",20241,3221494520
"ta019",20330,1388650649
"ta020",21320,3613873731
"ta021",33623,2806813771
"ta022",31587,3780482516
"ta023",33920,2293074227
"ta024",31661,2759993582
"ta025",34557,2948903432
"ta026",32564,777665871
"ta027",32922,3516390322
"ta028",32412,2825210951
"ta029",33600,1922857268
"ta030",32262,167623018
"ta031",64846,3041524041
"ta032",68108,837831684
"ta033",63162,3751850428
"ta034",68478,3320097588
"ta035",69565,943750855
"ta036",67061,2051971207
"ta037",66297,1440708580
"ta038",64504,674079340
"ta039",63149,1400227165
"ta040",68986,1226369084
"ta041",87692,2411926512
"ta042",82968,300071741
"ta043",79982,3238738760
"ta044",86774,222736165
"ta045",86800,729554025
"ta046",86792,2565027861
"ta047",89001,3246681287
"ta048",87097,1044528532
"ta049",85683,2671088187
"ta050",88379,2245478458
"ta051",125895,3152018696
"ta052",119361,698993974
"ta053",116922,218043240
"ta054",121032,674646678
"ta055",118184,564660896
"ta056",121110,1886243302
"ta057",123683,897369102
"ta058",122551,4060777666
"ta059",122262,2702669001
"ta060",124408,3980546241
"ta061",255104,4090538500
"ta062",244227,2939520330
"ta063",239005,3029000462
"ta064",228696,3955560475
"ta065",242010,4277882788
