######################################################################
# Supplementary data to
#   Benavides, Ritt (2014): "Local search heuristics for minimizing total
#     flowtime in permutation and non-permutation flow shops"
#
# Data as reported in Table 2, column "60 nm". The table contains 10
# replications for each of the 120 Taillard instances, for a total of
# 1200 entries.
#
# Base: pfs-5524-double.log
######################################################################
"name","best","seed"
"ta001",14033,1571869130
"ta002",15151,2760419156
"ta003",13301,528239027
"ta004",15447,2537190407
"ta005",13529,3806345923
"ta006",13123,2276004450
"ta007",13548,3753935836
"ta008",13948,3399620038
"ta009",14295,3520364939
"ta010",12943,3996304245
"ta011",20911,3939188989
"ta012",22440,3951356983
"ta013",19833,1185350497
"ta014",18710,3355252226
"ta015",18641,1901290643
"ta016",19245,3473008232
"ta017",18363,4250689861
"ta018",20241,4213980229
"ta019",20330,1147950927
"ta020",21320,3106045171
"ta021",33623,4275408215
"ta022",31587,3925250947
"ta023",33920,815601274
"ta024",31661,2102250940
"ta025",34557,4055083874
"ta026",32564,3951246028
"ta027",32922,2542156321
"ta028",32412,3262376148
"ta029",33600,4270249936
"ta030",32262,2279192729
"ta031",64866,2198476451
"ta032",68122,4034534658
"ta033",63243,3222482526
"ta034",68345,2938599499
"ta035",69448,1378590060
"ta036",66896,987884147
"ta037",66274,731543389
"ta038",64436,3133414280
"ta039",63035,454966879
"ta040",69047,664153350
"ta041",87272,668117940
"ta042",83063,1241243008
"ta043",79982,3368753848
"ta044",86707,4108154725
"ta045",86593,326660362
"ta046",86763,2831171036
"ta047",89035,937952149
"ta048",86894,1124694237
"ta049",85548,66571624
"ta050",88143,336024633
"ta051",126622,3680425736
"ta052",119266,3475975686
"ta053",116966,2213160068
"ta054",120954,4164817475
"ta055",118598,2682212628
"ta056",120959,137272069
"ta057",123358,2255496119
"ta058",122843,322631197
"ta059",122104,481619087
"ta060",124521,3266989377
"ta061",254577,84334541
"ta062",244141,539329778
"ta063",238596,1598151085
"ta064",228503,4187308653
"ta065",241699,1802557465
"ta066",233614,1336829575
"ta067",241603,3039485727
"ta068",232320,3519675129
"ta069",249221,389530932
"ta070",244059,1470357885
"ta071",300919,2327680292
"ta072",275960,3451539313
"ta073",290446,2878442857
"ta074",304629,1535136268
"ta075",285386,3660087477
"ta076",272439,3452190609
"ta077",282297,3072915442
"ta078",292252,3712017923
"ta079",303809,1735380705
"ta080",292642,2403973944
"ta081",368899,497506890
"ta082",375341,2527090392
"ta083",372309,3544317380
"ta084",376422,278035431
"ta085",371155,359670710
"ta086",374956,3947581324
"ta087",375450,595290358
"ta088",388398,3819688194
"ta089",377020,301754420
"ta090",381207,3872004316
"ta091",1052650,230057067
"ta092",1043360,174604386
"ta093",1050947,3753177309
"ta094",1036523,3799969458
"ta095",1038669,2378152998
"ta096",1010194,3943825719
"ta097",1061418,3586863818
"ta098",1048120,1093596276
"ta099",1027671,3833590868
"ta100",1036144,816411543
"ta101",1228782,2117542171
"ta102",1251587,934093169
"ta103",1269230,3745679736
"ta104",1245908,369796402
"ta105",1232363,1463968466
"ta106",1230767,4133932987
"ta107",1253544,2075267517
"ta108",1254812,2378889089
"ta109",1240585,518596502
"ta110",1254155,3786745493
"ta111",6714281,3269736596
"ta112",6841579,3742820021
"ta113",6745378,1201040453
"ta114",6794153,2122642006
"ta115",6738018,3409720076
"ta116",6746468,633400241
"ta117",6706585,957909201
"ta118",6789875,1246438989
"ta119",6714076,1086305860
"ta120",6761311,1348867560
"ta001",14033,903666875
"ta002",15151,1859365660
"ta003",13301,3621641883
"ta004",15447,2359417472
"ta005",13529,838106511
"ta006",13123,3006417223
"ta007",13548,3166883080
"ta008",13948,541293051
"ta009",14295,2045807884
"ta010",12943,3604899056
"ta011",20911,3572888977
"ta012",22440,277654551
"ta013",19833,3041396525
"ta014",18710,3881397682
"ta015",18641,1493726632
"ta016",19245,1902876302
"ta017",18363,2458237488
"ta018",20241,3882293752
"ta019",20330,2362808997
"ta020",21320,4095252059
"ta021",33623,292466465
"ta022",31587,233158637
"ta023",33920,1373600814
"ta024",31661,1918976023
"ta025",34557,3254037313
"ta026",32564,1289763299
"ta027",32922,709807632
"ta028",32412,802300817
"ta029",33600,1479831472
"ta030",32262,379972015
"ta031",64884,1949876654
"ta032",68155,4148209412
"ta033",63318,4039284875
"ta034",68241,3161411250
"ta035",69523,3463820961
"ta036",66875,3877919351
"ta037",66278,187427421
"ta038",64391,4040980445
"ta039",63038,1794130561
"ta040",69141,4077232871
"ta041",87342,1256292209
"ta042",83049,1855312170
"ta043",80217,2191128008
"ta044",86748,480372599
"ta045",86566,3425750381
"ta046",86657,2471367444
"ta047",88831,4203509200
"ta048",87145,880517398
"ta049",85724,1708523605
"ta050",88379,3131633498
"ta051",126393,1774437013
"ta052",119284,2674167154
"ta053",117159,1707575563
"ta054",121226,3400528405
"ta055",118781,983692599
"ta056",120924,1104017768
"ta057",123357,839428802
"ta058",122550,3768134267
"ta059",122279,376550023
"ta060",124214,1129098504
"ta061",254888,1574085630
"ta062",243595,2919562562
"ta063",239240,856344503
"ta064",228641,2405679432
"ta065",241396,929243337
"ta066",233431,4089896900
"ta067",241410,321110079
"ta068",231752,2656205809
"ta069",249466,3658811055
"ta070",245070,2427985092
"ta071",300440,1235658768
"ta072",276095,2893998170
"ta073",290610,3007286185
"ta074",303925,1320162766
