"name","best","seed"
"ta001",14002,341368679
"ta002",15151,4111735623
"ta003",13014,3575945695
"ta004",15412,4239530625
"ta005",13472,1232406726
"ta006",13072,82135198
"ta007",13479,3878869865
"ta008",13882,890784889
"ta009",14169,2400595670
"ta010",12907,381917784
"ta011",20650,4200412669
"ta012",22374,3179728128
"ta013",19548,2830025865
"ta014",18483,2908060104
"ta015",18343,956356755
"ta016",18881,3738963029
"ta017",18073,59105120
"ta018",19929,4080446284
"ta019",20106,3251093052
"ta020",21015,2477247762
"ta021",33540,3881159459
"ta022",31005,1011436066
"ta023",33341,3169230576
"ta024",31029,1517756346
"ta025",34199,2770013236
"ta026",32085,3003428520
"ta027",32809,1627365466
"ta028",32189,3665824209
"ta029",33078,2202246459
"ta030",31653,2786081661
"ta031",64798,1748246371
"ta032",68020,963898146
"ta033",63329,492164009
"ta034",68356,2023969279
"ta035",69317,2812024318
"ta036",66975,1183982194
"ta037",66253,2033172410
"ta038",64377,1656449719
"ta039",62942,1152447888
"ta040",68823,661785637
"ta041",87322,2059894861
"ta042",82652,2151910136
"ta043",79907,1784733267
"ta044",86566,2573871210
"ta045",86513,681396876
"ta046",86429,4292870986
"ta047",88752,3536816585
"ta048",86482,2669070702
"ta049",85356,281243208
"ta050",87921,4237625947
"ta051",124907,3570386693
"ta052",117472,3184674519
"ta053",115591,2646404580
"ta054",120096,68782216
"ta055",117285,1936574182
"ta056",119756,2620478650
"ta057",122859,4215897854
"ta058",121432,4249739967
"ta059",121508,2428878284
"ta060",123667,3776687713
"ta061",254747,357697489
"ta062",243713,1471475931
"ta063",238970,2611760109
"ta064",228416,2266523297
"ta065",241567,3289976833
"ta066",233472,1100823329
"ta067",241302,2987298027
"ta068",231955,4030347659
"ta069",248518,1758697199
"ta070",243841,4137906735
"ta071",300255,832058410
"ta072",275786,4123215887
"ta073",289500,1825199865
"ta074",303007,1799809520
"ta075",285577,630181497
"ta076",271855,1648039505
"ta077",279861,3847938340
"ta078",292945,2075719495
"ta079",303419,2391676632
"ta080",291920,1594782255
"ta081",366046,3445435935
"ta082",373703,2483760683
"ta083",371891,1299857179
"ta084",375852,1176317459
"ta085",369950,2102798175
"ta086",374922,3302785814
"ta087",373974,2571561820
"ta088",384691,233418006
"ta089",375266,819827859
"ta090",376514,1965397314
"ta091",1049178,597146404
"ta092",1041166,3777411905
"ta093",1050145,2164033323
"ta094",1033027,2643804331
"ta095",1038341,207699700
"ta096",1012037,1232105660
"ta097",1061400,247897412
"ta098",1044769,1060435552
"ta099",1026545,227937473
"ta100",1034981,3628552622
"ta101",1223281,377059076
"ta102",1244693,655788392
"ta103",1266314,3859604682
"ta104",1240591,4122308676
"ta105",1228754,3734624010
"ta106",1226605,3334210848
"ta107",1245270,4170839014
"ta108",1247173,1036430750
"ta109",1230104,2968385247
"ta110",1248337,3163416994
"ta111",6699461,1220622678
"ta112",6829061,2909374023
"ta113",6724760,1291402383
"ta114",6778620,776433191
"ta115",6730601,122075907
"ta116",6720321,3838310062
"ta117",6684332,3223336115
"ta118",6767407,1389392780
"ta119",6699404,3027879627
"ta120",6749467,1298610381
"ta001",14002,2905983625
"ta002",15151,2222521327
"ta003",12956,1480961799
"ta004",15412,3247698628
"ta005",13472,1561070413
"ta006",13072,2222481230
"ta007",13479,3912550599
"ta008",13882,2771572689
"ta009",14047,592327446
"ta010",12907,3528782023
"ta011",20650,518569188
"ta012",22374,2838427541
"ta013",19548,3034124200
"ta014",18483,3927258009
"ta015",18343,3015160190
"ta016",18928,1788242703
"ta017",18073,2796407320
"ta018",20006,2907496001
"ta019",20106,760229155
"ta020",21015,1712872035
"ta021",33540,2553347509
"ta022",31130,77697351
"ta023",33293,1649658295
"ta024",31316,3601280386
"ta025",34199,1234132869
"ta026",32035,1109877144
"ta027",32858,2509650379
"ta028",32189,1935016657
"ta029",33078,923664552
"ta030",31734,2097028279
"ta031",64766,2360452668
"ta032",68057,365240081
"ta033",63197,1616802121
"ta034",68282,791016974
"ta035",69289,4215105237
"ta036",67029,3482968732
"ta037",66240,1679442158
"ta038",64340,4260061799
"ta039",63011,53517444
"ta040",68973,303762799
"ta041",87000,2658918432
"ta042",82532,1230722568
"ta043",79753,1521356008
"ta044",86237,2154745383
"ta045",86447,1267102028
"ta046",86368,3798411484
"ta047",88494,4243263444
"ta048",86627,1291373585
"ta049",85116,1340643824
"ta050",87890,48277009
"ta051",125378,3673770080
"ta052",117516,4078419825
"ta053",116348,3661876526
"ta054",120096,1184892376
"ta055",117060,1723461180
"ta056",119984,3147681494
"ta057",123503,957706536
"ta058",121529,1278869329
"ta059",121279,793720117
"ta060",123957,3922242210
"ta061",254387,4151125245
"ta062",243478,1515118890
"ta063",239075,1852727077
"ta064",228565,305514758
"ta065",241458,810559681
"ta066",233077,2080626059
"ta067",240856,303611374
"ta068",232004,1536807097
"ta069",249127,649354497
