"name","best","seed"
"ta001",14002,1114373271
"ta002",15151,284521872
"ta003",13014,1360549056
"ta004",15412,3985207264
"ta005",13472,1539859484
"ta006",13072,4125133004
"ta007",13479,1248247484
"ta008",13882,2345251388
"ta009",14047,4206319497
"ta010",12907,632900977
"ta011",20650,3431129619
"ta012",22374,804127210
"ta013",19548,335465627
"ta014",18543,3703017661
"ta015",18343,215330358
"ta016",18998,441702061
"ta017",18073,2648382020
"ta018",20111,1125218568
"ta019",20106,2738503458
"ta020",21066,4103295318
"ta021",33540,4000783924
"ta022",31060,4292140295
"ta023",33246,277160071
"ta024",31182,3159569360
"ta025",34267,2477670466
"ta026",32085,2708631830
"ta027",32858,3836059623
"ta028",32322,1349459521
"ta029",33219,4237643825
"ta030",31823,1931468851
"ta031",64809,1214135147
"ta032",68193,1386205329
"ta033",63167,1368196613
"ta034",68308,428957709
"ta035",69412,2847467155
"ta036",66762,134821733
"ta037",66218,148150655
"ta038",64296,2532091076
"ta039",63023,1446444246
"ta040",68764,1382548918
"ta041",86943,67306804
"ta042",82767,1604806259
"ta043",79871,2436098003
"ta044",86524,2870560416
"ta045",86483,1213528709
"ta046",86232,889038922
"ta047",88552,746395318
"ta048",86638,3311081646
"ta049",85580,1971976032
"ta050",88000,4072145531
"ta051",124479,3210124650
"ta052",117512,330438412
"ta053",116212,1943940572
"ta054",120846,3379189060
"ta055",117319,4240503489
"ta056",120474,3772758884
"ta057",123040,3700963150
"ta058",122181,3090445165
"ta059",121339,616866071
"ta060",124002,715490799
"ta061",254758,2965609348
"ta062",244032,1812082543
"ta063",238988,2369749121
"ta064",228445,1348788157
"ta065",241716,1952741814
"ta066",233230,2415979788
"ta067",241442,4144460035
"ta068",232138,867343833
"ta069",248885,2948159117
"ta070",243733,3657199640
"ta071",300476,1660167014
"ta072",276112,1950939082
"ta073",288920,3491382156
"ta074",302282,3458132151
"ta075",285515,3111276564
"ta076",270333,3443027220
"ta077",282178,3971381906
"ta078",292374,899699004
"ta079",303825,2006108024
"ta080",292890,47478798
"ta081",366839,1806380431
"ta082",373501,1624535272
"ta083",371302,3994096547
"ta084",374202,3973311515
"ta085",371519,2327967074
"ta086",375018,455855274
"ta087",374421,3052309494
"ta088",386143,1980036790
"ta089",375037,3942770013
"ta090",380290,2874911112
"ta091",1048883,3376016296
"ta092",1045907,3714531352
"ta093",1049069,3907931156
"ta094",1035996,1723581611
"ta095",1037770,4091312034
"ta096",1013324,1890377930
"ta097",1058891,627590905
"ta098",1046131,137297312
"ta099",1028734,1105775423
"ta100",1039351,2066300081
"ta101",1226071,2915913382
"ta102",1248195,3968465818
"ta103",1270519,3480248507
"ta104",1248290,2509384251
"ta105",1224199,3506421120
