## Source: Pan & Ruiz (2012), Table 4
## instances with only first five machines
## instances with only first ten machines
"name","lb","ub"
"ta001",NA,14033
"ta002",NA,15151
"ta003",NA,13301
"ta004",NA,15447
"ta005",NA,13529
"ta006",NA,13123
"ta007",NA,13548
"ta008",NA,13948
"ta009",NA,14295
"ta010",NA,12943
"ta011",NA,20911
"ta012",NA,22440
"ta013",NA,19833
"ta014",NA,18710
"ta015",NA,18641
"ta016",NA,19245
"ta017",NA,18363
"ta018",NA,20241
"ta019",NA,20330
"ta020",NA,21320
"ta021",NA,33623
"ta022",NA,31587
"ta023",NA,33920
"ta024",NA,31661
"ta025",NA,34557
"ta026",NA,32564
"ta027",NA,32922
"ta028",NA,32412
"ta029",NA,33600
"ta030",NA,32262
"ta031",NA,64802
"ta032",NA,68051
"ta033",NA,63162
"ta034",NA,68226
"ta035",NA,69351
"ta036",NA,66841
"ta037",NA,66253
"ta038",NA,64332
"ta039",NA,62981
"ta040",NA,68770
"ta041",NA,87114
"ta042",NA,82820
"ta043",NA,79931
"ta044",NA,86446
"ta045",NA,86377
"ta046",NA,86587
"ta047",NA,88750
"ta048",NA,86727
"ta049",NA,85441
"ta050",NA,87998
"ta051",NA,125831
"ta052",NA,119247
"ta053",NA,116459
"ta054",NA,120261
"ta055",NA,118184
"ta056",NA,120586
"ta057",NA,122880
"ta058",NA,122489
"ta059",NA,121872
"ta060",NA,123954
"ta061",NA,253266
"ta062",NA,242281
"ta063",NA,237832
"ta064",NA,227738
"ta065",NA,240301
"ta066",NA,232342
"ta067",NA,240366
"ta068",NA,230945
"ta069",NA,247921
"ta070",NA,242933
"ta071",NA,298385
"ta072",NA,274384
"ta073",NA,288114
"ta074",NA,301044
"ta075",NA,284681
"ta076",NA,269686
"ta077",NA,279463
"ta078",NA,290908
"ta079",NA,301970
"ta080",NA,291283
"ta081",NA,365463
"ta082",NA,372449
"ta083",NA,370027
"ta084",NA,372393
"ta085",NA,368915
"ta086",NA,370908
"ta087",NA,373408
"ta088",NA,384525
"ta089",NA,374423
"ta090",NA,379296
"ta091",NA,1046314
"ta092",NA,1034195
"ta093",NA,1046902
"ta094",NA,1030481
"ta095",NA,1034027
"ta096",NA,1006195
"ta097",NA,1053051
"ta098",NA,1044875
"ta099",NA,1026137
"ta100",NA,1030299
"ta101",NA,1227733
"ta102",NA,1245271
"ta103",NA,1269673
"ta104",NA,1238349
"ta105",NA,1227214
"ta106",NA,1227604
"ta107",NA,1243707
"ta108",NA,1246123
"ta109",NA,1234936
"ta110",NA,1250596
"ta111",NA,6698656
"ta112",NA,6770735
"ta113",NA,6739645
"ta114",NA,6785991
"ta115",NA,6729468
"ta116",NA,6724085
"ta117",NA,6691468
"ta118",NA,6783916
"ta119",NA,6711305
"ta120",NA,6755722
"ta091_5",NA,937273
"ta092_5",NA,896936
"ta093_5",NA,936905
"ta094_5",NA,902818
"ta095_5",NA,920723
"ta096_5",NA,890028
"ta097_5",NA,930040
"ta098_5",NA,914638
"ta099_5",NA,910726
"ta100_5",NA,903188
"ta111_5",NA,5539387
"ta112_5",NA,5608131
"ta113_5",NA,5605732
"ta114_5",NA,5526960
"ta115_5",NA,5588103
"ta116_5",NA,5497811
"ta117_5",NA,5483350
"ta118_5",NA,5572833
"ta119_5",NA,5554145
"ta120_5",NA,5509152
"ta111_10",NA,5997531
"ta112_10",NA,6106675
"ta113_10",NA,6073492
"ta114_10",NA,6062847
"ta115_10",NA,5986526
"ta116_10",NA,6006542
"ta117_10",NA,5966581
"ta118_10",NA,6080320
"ta119_10",NA,5994142
"ta120_10",NA,6013461
